prop_name,completion_year,monthly_rent,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,city,area
Rica Residence Sentul,2021,1700,Condominium,2,,1,700,Partially Furnished,"Parking, Security, Swimming Pool, Minimart, Playground, Squash Court, Lift, Gymnasium, Tennis Court, Jogging Track","Near KTM/LRT, Air-Cond, Cooking Allowed, Washing Machine",Kuala Lumpur , Sentul
PV9 Residences @ Taman Melati,2022,2100,Service Residence,3,2,2,1000,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Minimart","Air-Cond, Near KTM/LRT, Cooking Allowed",Kuala Lumpur , Setapak
Suasana Lumayan,2015,1550,Condominium,4,1,2,1142,Partially Furnished,"Minimart, Sauna, Security, Gymnasium, Playground, Parking, Swimming Pool, Lift","Air-Cond, Cooking Allowed",Kuala Lumpur , Cheras
Plaza Prima Setapak,2006,1400,Condominium,4,2,2,1300,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track","Cooking Allowed, Washing Machine",Kuala Lumpur , Setapak
Residensi Vista Wirajaya,,1800,Apartment,3,1,2,884,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall","Near KTM/LRT, Washing Machine, Internet, Cooking Allowed",Kuala Lumpur , Setapak
One Maxim,2020,1300,Service Residence,3,1,2,819,Partially Furnished,"Parking, Sauna, Barbeque area, Jogging Track, Security, Playground, Swimming Pool, Gymnasium, Multipurpose hall",Cooking Allowed,Kuala Lumpur , Sentul
M Centura,2021,2500,Service Residence,3,1,2,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Gymnasium, Playground","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Sentul
PV9 Residences @ Taman Melati,2022,2300,Service Residence,3,2,2,1000,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Jogging Track, Barbeque area","Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Setapak
Majestic Maxim,2021,1350,Service Residence,2,1,1,650,Partially Furnished,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Playground, Swimming Pool, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Kuala Lumpur , Cheras
Residensi KepongMas,2020,1100,Apartment,3,2,2,800,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Air-Cond, Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Kepong
