prop_name,completion_year,monthly_rent,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,city,area
Residensi Warnasari 3,,800,Apartment,3,1,2,760,Not Furnished,"Parking, Security",Cooking Allowed,Selangor , Puncak Alam
Seri Pinang Apartment,,1500,Apartment,3,2,2,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart, Multipurpose hall, Gymnasium, Club house, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Setia Alam
Residensi Permai,2020,1200,Condominium,3,2,2,1080,Partially Furnished,"Security, Gymnasium, Parking, Playground, Swimming Pool, Sauna, Minimart, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , Kajang
One Damansara,2013,1600,Condominium,3,2,2,1170,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , Petaling Jaya
Serdang Skyvillas,,1200,Apartment,3,2,2,960,Fully Furnished,"Security, Gymnasium, Minimart, Swimming Pool, Parking, Lift","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , Seri Kembangan
Symphony Heights (Simfoni Heights),2011,1300,Condominium,3,1,2,1144,Fully Furnished,"Parking, Swimming Pool, Jogging Track",,Selangor , Batu Caves
Vista Impiana,2004,1200,Condominium,3,,2,1200,Partially Furnished,"Minimart, Security, Playground, Parking, Swimming Pool",,Selangor , Seri Kembangan
Vista Bangi,2021,1400,Condominium,3,2,2,850,Not Furnished,"Minimart, Gymnasium, Lift, Parking, Swimming Pool, Playground, Security",,Selangor , Kajang
Cyber Heights Villa,2014,1800,Apartment,3,2,2,1860,Fully Furnished,,,Selangor , Cyberjaya
Parkland Residence,2014,1800,Service Residence,3,,2,875,Partially Furnished,"Gymnasium, Multipurpose hall, Swimming Pool, Sauna, Security, Jogging Track, Barbeque area, Parking, Playground",,Selangor , Cheras
Park @ One South,2014,1300,Service Residence,3,2,2,1065,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor , Seri Kembangan
Palm Hill Residence,2020,1000,Condominium,3,2,2,915,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Gymnasium, Sauna, Jogging Track, Tennis Court, Multipurpose hall, Club house",Cooking Allowed,Selangor , Kajang
One Selayang,2009,1100,Apartment,3,,2,817,Partially Furnished,"Security, Parking","Air-Cond, Cooking Allowed",Selangor , Gombak
Desa Idaman Residences,,1450,Apartment,3,1,2,1027,Not Furnished,"Lift, Security, Parking, Playground, Swimming Pool, Barbeque area, Multipurpose hall, Jogging Track",Cooking Allowed,Selangor , Puchong
Casa Subang,2005,1500,Service Residence,4,1,2,1062,Fully Furnished,"Security, Minimart, Tennis Court, Lift, Parking, Playground, Swimming Pool, Multipurpose hall","Air-Cond, Washing Machine",Selangor , Subang Jaya
La Thea Residences,2016,1500,Condominium,2,2,2,800,Fully Furnished,"Swimming Pool, Jogging Track, Security, Parking, Gymnasium, Lift, Playground, Barbeque area, Minimart, Multipurpose hall, Club house, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor , Puchong
Pangsapuri Arista,,950,Apartment,3,,2,650,Not Furnished,Playground,Cooking Allowed,Selangor , Klang
Third Avenue,2018,1200,Apartment,1,1,1,450,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Tennis Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , Cyberjaya
Astoria Ampang,2020,2200,Condominium,2,,2,735,Partially Furnished,"Parking, Security, Playground, Gymnasium, Tennis Court, Barbeque area, Swimming Pool, Jogging Track",,Selangor , Ampang
Venice Hill,2000,1000,Condominium,3,1,2,1500,Partially Furnished,"Sauna, Swimming Pool, Playground, Minimart, Gymnasium, Parking, Security","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor , Cheras
,,1950,Service Residence,3,2,2,861,Partially Furnished,"Playground, Jogging Track, Parking, Security, Sauna, Barbeque area","Air-Cond, Cooking Allowed, Washing Machine, Internet",Selangor , Kota Kemuning
,,950,Condominium,3,2,2,1050,Partially Furnished,"Swimming Pool, Gymnasium, Playground, Jogging Track, 10, 11, Parking",Cooking Allowed,Selangor , Bandar Sungai Long
Residensi Tasikmas @ Desa Tun Razak,,1350,Apartment,3,1,2,850,Partially Furnished,"Multipurpose hall, Security, Parking, Lift, Playground","Near KTM/LRT, Cooking Allowed",Selangor , Cheras
Nilam Puri Condominium,2006,1300,Condominium,3,1,2,1022,Fully Furnished,"Sauna, Security, Playground, Gymnasium, Swimming Pool, Multipurpose hall, Parking, Lift, Barbeque area, Jogging Track, Minimart, Tennis Court","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Puchong
Selayang Point,2008,1600,Condominium,3,1,2,1011,Partially Furnished,"Barbeque area, Security, Playground, Gymnasium, Parking, Swimming Pool, Minimart, Lift","Air-Cond, Cooking Allowed",Selangor , Selayang
BSP21,,1500,Service Residence,3,2,2,1048,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Bandar Saujana Putra
Residensi Suasana @ Damai,2019,1800,Condominium,3,,2,1100,Fully Furnished,"Playground, Gymnasium, Swimming Pool, Security, Minimart","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Damansara Damai
Blok RPR L-301 Taman Kemacahaya,,800,Apartment,3,2,2,850,Partially Furnished,"Parking, Playground",,Selangor , Cheras
Apartment Harmoni,,700,Apartment,3,,2,650,Not Furnished,,,Selangor , Damansara Damai
CyberSquare SOHO,2017,1000,Condominium,1,1,1,450,Fully Furnished,"Security, Lift, Parking, Swimming Pool, Playground, Gymnasium, Minimart, Barbeque area, Sauna","Cooking Allowed, Air-Cond, Washing Machine",Selangor , Cyberjaya
Eclipse Residence @ Pan'gaea,2018,1800,Service Residence,3,2,2,1000,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Squash Court","Air-Cond, Washing Machine, Cooking Allowed",Selangor , Cyberjaya
Domain 5 Apartment,2014,900,Service Residence,1,1,1,600,Partially Furnished,"Parking, Playground, Gymnasium, Swimming Pool, Security",,Selangor , Cyberjaya
Sri Teratai Apartment,,1200,Apartment,3,1,2,900,Fully Furnished,"Barbeque area, Parking, Security, Playground, Minimart, Lift, Jogging Track, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor , Puchong
Pangsapuri Damai,,1250,Apartment,3,1,2,971,Partially Furnished,"Parking, Security, Lift, Playground, Multipurpose hall, Barbeque area",Cooking Allowed,Selangor , Shah Alam
Trefoil,2015,1400,Service Residence,1,1,1,486,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Setia Alam
Amara Service Residences,2014,1500,Service Residence,3,2,2,1012,Fully Furnished,"Jogging Track, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , Batu Caves
Ridzuan Condominium,1999,1500,Condominium,3,1,2,1192,Fully Furnished,"Minimart, Security, Squash Court, Playground, Parking, Lift, Swimming Pool","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Bandar Sunway
Bangi Gateway,,1200,Service Residence,1,,1,700,Fully Furnished,,"Air-Cond, Cooking Allowed",Selangor , Bangi
Bayu Villa,,1000,Apartment,3,1,2,800,Not Furnished,"Security, Minimart, Jogging Track, Swimming Pool, Parking, Playground, Sauna",Cooking Allowed,Selangor , Klang
Amara Service Residences,2014,1199,Service Residence,3,,2,856,Partially Furnished,"Parking, Jogging Track, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Selangor , Batu Caves
Shang Villa,,1600,Condominium,3,1,2,1100,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , Kelana Jaya
Intana Ria,,1350,Apartment,4,1,2,980,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall","Cooking Allowed, Washing Machine",Selangor , Bangi
The Place @ Cyberjaya,2014,1200,Condominium,1,1,1,530,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Barbeque area, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Cyberjaya
The Olive,2020,1300,Condominium,3,2,2,818,Partially Furnished,"Lift, Gymnasium, Playground, Swimming Pool, Parking, Security","Cooking Allowed, Air-Cond",Selangor , Sepang
The Olive,2020,1400,Condominium,3,2,2,818,Fully Furnished,"Lift, Gymnasium, Playground, Swimming Pool, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Sepang
Trefoil,2015,1400,Service Residence,1,1,1,485,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall","Washing Machine, Air-Cond, Cooking Allowed",Selangor , Setia Alam
The Olive,2020,1200,Condominium,3,2,2,818,Partially Furnished,"Lift, Gymnasium, Playground, Swimming Pool, Parking, Security",Cooking Allowed,Selangor , Sepang
The Olive,2020,1100,Condominium,3,2,2,818,Not Furnished,"Parking, Security, Swimming Pool, Lift, Gymnasium, Playground","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Sepang
Taman Cahaya,,800,Apartment,2,,1,670,Not Furnished,,"Cooking Allowed, Near KTM/LRT",Selangor , Ampang
Liberty Arc @ Ampang Ukay,,1400,Condominium,1,1,1,450,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Jogging Track, Barbeque area, Minimart, Tennis Court, Gymnasium","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Ampang
Tropicana Aman 1 – Tropicana Urban Homes,2020,1700,Condominium,3,,2,870,Partially Furnished,"Swimming Pool, Security, Lift, Playground, Parking, Club house, Gymnasium, Squash Court, Minimart",,Selangor , Kuala Langat
Cemara Apartment,,1000,Apartment,3,,2,950,Fully Furnished,"Playground, Parking, Barbeque area",,Selangor , Kajang
The Olive,2020,1500,Condominium,3,2,2,818,Fully Furnished,"Lift, Gymnasium, Playground, Swimming Pool, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Sepang
The Olive,2020,1500,Condominium,3,2,2,818,Fully Furnished,"Lift, Gymnasium, Playground, Swimming Pool, Parking, Security","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Sepang
DK Impian,2021,1200,Service Residence,1,1,1,300,Fully Furnished,"Parking, Playground, Swimming Pool, Gymnasium, Jogging Track, Barbeque area, Security, Lift, Multipurpose hall","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , Shah Alam
Seri Atria,,1250,Apartment,3,2,2,838,Not Furnished,"Parking, Security, Lift, Playground",Cooking Allowed,Selangor , Shah Alam
Sapphire Paradigm,2018,3500,Condominium,2,1,2,1001,Fully Furnished,"Lift, Security, Gymnasium, Playground, Parking","Air-Cond, Cooking Allowed",Selangor , Petaling Jaya
DK Impian,2021,2200,Service Residence,2,1,2,650,Fully Furnished,"Security, Barbeque area, Playground, Parking, Gymnasium, Swimming Pool, Jogging Track, Lift, Multipurpose hall",,Selangor , Shah Alam
Bandar Damai Perdana Apartment,,650,Apartment,3,1,2,700,Not Furnished,"Parking, Jogging Track",Cooking Allowed,Selangor , Cheras
Canopy hill,,600,Condominium,2,1,1,600,Not Furnished,"Parking, Security, Lift, Gymnasium, Swimming Pool, Playground, Barbeque area, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Selangor , Kajang
Canopy hill,,600,Condominium,2,1,1,600,Not Furnished,"Parking, Lift, Playground, Security, Swimming Pool, Gymnasium, Barbeque area, Multipurpose hall, Minimart","Cooking Allowed, Near KTM/LRT",Selangor , Kajang
Utropolis Serviced Apartment 2,,1500,Condominium,2,1,1,670,Partially Furnished,"Playground, Swimming Pool, Gymnasium, Jogging Track, Security, Multipurpose hall, Parking",,Selangor , Glenmarie
Flora Damansara Flat,,1100,Apartment,3,1,2,850,Not Furnished,"Tennis Court, Playground, Security, Parking, Minimart, Swimming Pool, Barbeque area",,Selangor , Damansara Perdana
Empire City,2015,1200,Condominium,1,,1,760,Partially Furnished,,,Selangor , Damansara Perdana
Empire City,2015,1100,Condominium,1,,1,483,Fully Furnished,,"Air-Cond, Near KTM/LRT",Selangor , Damansara Perdana
Ilham Apartment,,1000,Apartment,3,1,2,786,Not Furnished,"Parking, Security, Lift, Playground, Sauna, Minimart, Multipurpose hall","Cooking Allowed, Near KTM/LRT",Selangor , Shah Alam
Empire City Halo Sunday,2015,1100,Studio,1,,1,483,Fully Furnished,,,Selangor , Petaling Jaya
Dataran Otomobil Apartment,,1000,Apartment,3,,2,800,Not Furnished,Minimart,Cooking Allowed,Selangor , Shah Alam
Empire City,2015,1300,Studio,1,,1,500,Fully Furnished,,"Air-Cond, Near KTM/LRT, Washing Machine",Selangor , Damansara Perdana
One Selayang,2009,1100,Apartment,3,1,2,817,Partially Furnished,"Parking, Security, Playground","Air-Cond, Cooking Allowed",Selangor , Gombak
Neo Damansara,,1600,Studio,1,1,1,420,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Jogging Track, Club house, Gymnasium, Barbeque area, Minimart, Sauna","Cooking Allowed, Air-Cond, Washing Machine, Near KTM/LRT",Selangor , Petaling Jaya
D'Cerrum Apartment,2019,950,Apartment,3,2,2,960,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Minimart",Cooking Allowed,Selangor , Semenyih
,,1000,Condominium,3,2,2,1023,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium","Cooking Allowed, Near KTM/LRT, Internet",Selangor , Kajang
Puri Aiyu,2006,1200,Apartment,3,1,2,912,Partially Furnished,"Security, Tennis Court, Minimart, Playground, Gymnasium, Swimming Pool, Parking",,Selangor , Shah Alam
Edusphere,2021,1700,Studio,1,1,1,550,Fully Furnished,"Security, Parking, Gymnasium, Swimming Pool, Playground, Minimart, Lift, Multipurpose hall, Barbeque area","Air-Cond, Cooking Allowed",Selangor , Cyberjaya
Ken Rimba Condominium 1,2018,2000,Condominium,3,2,2,1119,Partially Furnished,,,Selangor , Shah Alam
Temasya 8,2019,2650,Condominium,2,2,2,936,Fully Furnished,"Swimming Pool, Gymnasium, Playground",,Selangor , Glenmarie
Geo@Bukit Rimau,2020,2250,Condominium,3,2,2,875,Fully Furnished,"Playground, Tennis Court, Squash Court, Lift, Parking, Minimart, Security, Barbeque area, Club house, Gymnasium, Jogging Track, Multipurpose hall, Swimming Pool, Sauna",,Selangor , Shah Alam
Gaya Resort Homes,2017,1450,Service Residence,3,2,2,896,Partially Furnished,"Lift, Swimming Pool, Playground, Barbeque area, Gymnasium, Security, Parking",Air-Cond,Selangor , Shah Alam
Gaya Resort Homes,2017,1450,Service Residence,3,,2,896,Partially Furnished,,,Selangor , Shah Alam
"Apartment Myra Putra, Kajang (Low Density)",,1400,Apartment,3,2,2,920,Not Furnished,"Parking, Security, Lift, Playground, Gymnasium, Barbeque area, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor , Kajang
Sterling,2023,2550,Condominium,5,2,3,1902,Partially Furnished,"Jogging Track, Club house, Gymnasium, Tennis Court, Sauna, Playground, Barbeque area, Multipurpose hall, Parking, Security, Minimart, Swimming Pool",,Selangor , Kelana Jaya
Ritze Perdana 1,2006,1300,Studio,1,1,1,634,Fully Furnished,"Parking, Playground, Lift, Security, Minimart, Swimming Pool, Squash Court, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track, Club house","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Damansara Perdana
Pinang Heights,,1800,Condominium,4,2,2,1240,Partially Furnished,"Security, Parking, Lift, Swimming Pool, Playground, Gymnasium","Cooking Allowed, Near KTM/LRT",Selangor , Shah Alam
Mahkota Garden Residence Condominium,,1100,Condominium,4,2,3,1425,Partially Furnished,"Gymnasium, Jogging Track, Sauna, Multipurpose hall, Lift, Club house, Parking, Playground, Swimming Pool, Barbeque area, Security, Tennis Court, Squash Court, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , Bandar Mahkota Cheras
Oasis 2 Residence,,950,Condominium,3,2,2,1255,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , Kajang
Sutera Pines,2017,1200,Condominium,3,,2,1582,Partially Furnished,"Jogging Track, Multipurpose hall, Squash Court, Security, Swimming Pool",,Selangor , Kajang
7 Tree Seven Residence,2016,900,Condominium,4,2,3,1233,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , Bandar Sungai Long
Flora Damansara,2015,750,Condominium,3,1,2,850,Not Furnished,,,Selangor , Damansara Perdana
Alam Idaman,2013,1400,Service Residence,3,,2,925,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart","Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor , Shah Alam
i-Soho @ i-City,2017,1400,Condominium,1,,1,500,Fully Furnished,,,Selangor , Shah Alam
Saville @ Kajang,,1000,Service Residence,3,1,2,855,Partially Furnished,"Security, Gymnasium, Parking, Swimming Pool, Jogging Track",,Selangor , Kajang
Emerald Residence @ Mahkota Cheras,2017,1000,Condominium,3,2,2,1266,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , Cheras
Pangsapuri BBK Bandar Baru Kundang,,600,Apartment,3,,3,750,Partially Furnished,"Parking, Playground, Minimart",,Selangor , Rawang
Residensi Zamrud,,700,Condominium,3,2,2,1023,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , Kajang
De Bayu Apartment,2020,1200,Apartment,3,2,2,900,Partially Furnished,"Lift, Parking, Security, Playground, Jogging Track, Minimart, Multipurpose hall","Washing Machine, Cooking Allowed",Selangor , Setia Alam
Neo Damansara,,2500,Service Residence,3,2,2,877,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Jogging Track, Barbeque area, Sauna, Gymnasium, Club house","Air-Cond, Internet, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor , Petaling Jaya
Emira Residence @ Shah Alam,2018,1450,Condominium,1,2,1,614,Partially Furnished,,,Selangor , Shah Alam
Emira Residence @ Shah Alam,2018,1850,Condominium,2,2,2,883,Partially Furnished,,,Selangor , Shah Alam
Surian Condominium,2007,3000,Condominium,3,2,2,1421,Partially Furnished,"Jogging Track, Tennis Court, Sauna, Club house, Barbeque area, Parking, Security, Swimming Pool, Gymnasium, Lift, Minimart, Playground, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Petaling Jaya
Cyberia Crescent 2,2007,1300,Condominium,3,2,2,1050,Partially Furnished,"Gymnasium, Lift, Playground, Security, Minimart, Parking, Swimming Pool",,Selangor , Cyberjaya
Suria Jaya,,1200,Apartment,2,1,2,450,Partially Furnished,,"Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor , Shah Alam
Pangsapuri Lili,,750,Apartment,3,,2,650,Not Furnished,,Cooking Allowed,Selangor , Puchong
Cyberia SmartHomes,2002,1300,Condominium,3,1,2,1100,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Cooking Allowed, Near KTM/LRT",Selangor , Cyberjaya
Mutiara Ville @ Cyberjaya,2013,1700,Condominium,3,1,2,1100,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT",Selangor , Cyberjaya
Solstice @ Pan'gaea,2016,1400,Condominium,1,1,1,580,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Cyberjaya
Myra Putra,,1300,Apartment,3,2,2,920,Not Furnished,"Parking, Security, Lift, Playground, Gymnasium",Cooking Allowed,Selangor , Kajang
Lestari Perdana Apartment,,680,Apartment,3,,1,650,Partially Furnished,,,Selangor , Seri Kembangan
HORIZON SUITE,,850,Service Residence,1,,1,239,Fully Furnished,,"Air-Cond, Cooking Allowed",Selangor , Sepang
Third Avenue,2018,1600,Apartment,1,,1,500,Fully Furnished,,,Selangor , Cyberjaya
Casa Tropicana,2008,1700,Condominium,3,,2,1184,Partially Furnished,"Tennis Court, Sauna, Security, Jogging Track, Swimming Pool, Multipurpose hall, Gymnasium, Lift, Club house, Minimart, Parking, Barbeque area, Playground, Squash Court","Cooking Allowed, Air-Cond, Washing Machine",Selangor , Petaling Jaya
Kenwingston Square Garden,2020,1600,Service Residence,2,,1,600,Fully Furnished,"Parking, Gymnasium, Jogging Track, Security, Swimming Pool, Multipurpose hall, Squash Court, Barbeque area, Minimart, Playground","Cooking Allowed, Air-Cond, Washing Machine",Selangor , Cyberjaya
Zeva @ Equine South,,999,Service Residence,1,1,1,454,Partially Furnished,"Club house, Security, Jogging Track, Sauna, Swimming Pool, Gymnasium, Barbeque area, Parking, Lift, Playground, Minimart","Air-Cond, Cooking Allowed",Selangor , Seri Kembangan
B11 Parkland Residence,,1800,Service Residence,2,1,2,704,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Gymnasium, Multipurpose hall","Air-Cond, Cooking Allowed, Washing Machine",Selangor , Cheras
Savanna Executive Suites,,1200,Service Residence,3,2,2,956,Not Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track",,Selangor , Bangi
Intana Ria,,1350,Apartment,4,,2,1000,Fully Furnished,"Security, Swimming Pool, Playground, Multipurpose hall, Parking",,Selangor , Bangi
i-City,,2000,Service Residence,2,,2,850,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Multipurpose hall, Minimart, Sauna, Gymnasium, Club house, Jogging Track, Tennis Court, Squash Court, Barbeque area","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , I-City
Solstice @ Pan'gaea,2016,2000,Condominium,2,2,2,980,Fully Furnished,"Parking, Swimming Pool, Security",,Selangor , Cyberjaya
Vista Alam Serviced Apartment,2014,2300,Service Residence,4,,2,1400,Fully Furnished,"Security, Parking, Jogging Track, Playground, Gymnasium, Minimart, Swimming Pool, Lift, Sauna, Barbeque area, Tennis Court, Squash Court, Club house","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Selangor , Shah Alam
Azaria Apartments,,1200,Apartment,3,,2,850,Not Furnished,"Playground, Security, Parking, Jogging Track",,Selangor , Klang
D' Latour,,3000,Condominium,2,,2,753,Fully Furnished,"Playground, Swimming Pool, Sauna, Multipurpose hall, Gymnasium, Security, Barbeque area",,Selangor , Bandar Sunway
Laman Impian,,1300,Apartment,3,,2,900,Not Furnished,,,Selangor , Klang
Palmville Resort Condominium @ Sunway City,,2500,Condominium,3,2,2,1570,Partially Furnished,"Swimming Pool, Gymnasium, Minimart, Lift, Parking, Sauna, Security, Playground, Jogging Track",,Selangor , Bandar Sunway
Mewah 9 Residence,2014,1000,Apartment,3,2,2,850,Partially Furnished,"Security, Parking, Minimart, Playground","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor , Kajang
3 Elements,,1150,Condominium,3,,2,752,Partially Furnished,"Parking, Security, Swimming Pool, Gymnasium, Playground, Multipurpose hall",,Selangor , Seri Kembangan
Amara Service Residences,2014,1400,Service Residence,3,3,2,1245,Partially Furnished,"Minimart, Gymnasium, Security, Playground, Jogging Track, Sauna, Swimming Pool, Barbeque area",,Selangor , Batu Caves
Silk Sky,2016,1400,Condominium,3,2,2,1044,Partially Furnished,,,Selangor , Balakong
V-Residensi 2,2016,1500,Service Residence,2,2,2,800,Fully Furnished,"Playground, Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium, Lift, Sauna, Barbeque area, Squash Court, Tennis Court, Jogging Track, Club house, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine, Internet",Selangor , Shah Alam
,,750,Service Residence,3,,2,950,Partially Furnished,,,Selangor , Semenyih
Seri Pinang Apartments @ Setia Alam,,1600,Apartment,3,,2,900,Partially Furnished,"Parking, Minimart, Playground, Lift, Security, Swimming Pool, Gymnasium, Sauna",,Selangor , Setia Alam
DK Impian,2021,2000,Condominium,2,1,1,635,Not Furnished,"Swimming Pool, Barbeque area, Security, Gymnasium, Parking, Jogging Track, Playground",,Selangor , Shah Alam
Vistana Mahkota,,1350,Apartment,3,,2,953,Fully Furnished,"Minimart, Sauna, Security, Swimming Pool, Parking","Air-Cond, Cooking Allowed, Internet",Selangor , Bandar Mahkota Cheras
Suriamas,2004,1600,Condominium,4,2,2,1300,Not Furnished,"Club house, Parking, Minimart, Gymnasium, Barbeque area, Sauna, Swimming Pool, Jogging Track, Security, Playground, Lift, Multipurpose hall, Tennis Court",,Selangor , Bandar Sunway
Horizon Suites,,850,Condominium,1,1,1,240,Fully Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Multipurpose hall, Jogging Track, Club house, Sauna","Air-Cond, Cooking Allowed, Near KTM/LRT",Selangor , Sepang
"Oxford Tower, Garden Plaza",,900,Apartment,3,1,2,450,Fully Furnished,"Playground, Tennis Court, Jogging Track, Parking, Swimming Pool, Sauna, Minimart, Lift, Security, Gymnasium","Air-Cond, Washing Machine",Selangor , Cyberjaya
Simfoni 1,2016,950,Condominium,3,,2,990,Partially Furnished,"Parking, Lift, Swimming Pool, Security, Minimart, Playground, Squash Court, Tennis Court, Barbeque area, Sauna, Gymnasium",,Selangor , Semenyih
,,,,,,,,,,,,
